Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Finland,86.8,1,OECD,green,↑,red,→,yellow,➚,green,→,yellow,➚,yellow,➚,green,↑,yellow,➚,yellow,➚,yellow,↓,yellow,➚,red,→,red,↓,yellow,➚,orange,➚,yellow,➚,orange,➚
Sweden,86.0,2,OECD,green,↑,red,→,yellow,➚,yellow,➚,green,↑,yellow,↑,green,➚,yellow,→,yellow,➚,yellow,➚,yellow,➚,red,→,red,→,orange,➚,red,→,yellow,➚,yellow,➚
Denmark,85.7,3,OECD,green,➚,orange,→,yellow,➚,yellow,→,yellow,↑,yellow,➚,green,↑,yellow,➚,yellow,➚,green,→,orange,➚,red,→,red,➚,orange,→,yellow,➚,yellow,➚,yellow,➚
Germany,83.4,4,OECD,yellow,↓,orange,→,orange,➚,orange,→,yellow,➚,yellow,↑,yellow,➚,yellow,→,yellow,➚,yellow,↓,yellow,➚,red,➚,red,➚,orange,➚,orange,➚,yellow,➚,yellow,➚
Austria,82.3,5,OECD,green,➚,orange,→,yellow,➚,yellow,➚,yellow,↑,yellow,➚,green,➚,yellow,→,yellow,➚,yellow,➚,yellow,➚,red,→,red,➚,grey,,orange,→,yellow,➚,orange,➚
France,82.0,6,OECD,green,➚,orange,→,orange,➚,orange,➚,yellow,↑,orange,→,yellow,➚,orange,➚,yellow,➚,yellow,→,yellow,➚,red,→,red,➚,orange,➚,orange,➚,orange,➚,orange,↑
Norway,82.0,7,OECD,green,→,red,→,green,➚,yellow,→,green,↑,orange,→,green,➚,yellow,➚,yellow,➚,green,➚,yellow,➚,red,↓,red,➚,orange,→,red,→,yellow,➚,yellow,➚
Czechia,81.9,8,OECD,green,↑,red,→,orange,➚,yellow,➚,orange,➚,yellow,➚,orange,➚,yellow,➚,orange,➚,yellow,➚,yellow,↑,red,→,red,→,grey,,yellow,➚,yellow,→,orange,↑
Poland,81.8,9,OECD,green,↑,red,→,orange,➚,yellow,➚,yellow,➚,yellow,↑,orange,➚,yellow,➚,orange,↑,yellow,↑,yellow,→,orange,→,orange,→,red,➚,green,➚,orange,→,yellow,↑
Estonia,81.7,10,OECD,yellow,➚,red,→,orange,➚,green,↑,orange,➚,yellow,➚,orange,➚,yellow,→,orange,➚,orange,➚,yellow,→,red,→,red,➚,yellow,➚,green,➚,yellow,➚,orange,↑
United Kingdom,81.7,11,OECD,yellow,↓,red,→,yellow,➚,yellow,➚,yellow,➚,yellow,➚,orange,➚,yellow,↑,green,➚,orange,→,yellow,→,red,➚,red,➚,orange,➚,orange,➚,orange,→,red,→
Croatia,81.5,12,E. Europe & C. Asia,green,↑,orange,➚,yellow,➚,green,→,orange,➚,yellow,↑,yellow,➚,yellow,➚,yellow,↑,yellow,↑,orange,➚,red,↓,orange,↓,yellow,➚,yellow,➚,orange,➚,orange,➚
Slovenia,81.0,13,OECD,green,↑,red,→,yellow,➚,yellow,➚,yellow,➚,orange,↑,yellow,➚,yellow,➚,orange,➚,yellow,➚,yellow,➚,red,→,red,→,orange,➚,orange,→,yellow,→,yellow,➚
Latvia,80.7,14,OECD,yellow,➚,red,→,orange,➚,yellow,➚,orange,➚,orange,↑,yellow,↑,orange,→,red,➚,red,↓,yellow,➚,red,↓,red,→,orange,➚,green,➚,orange,➚,red,➚
Switzerland,80.5,15,OECD,green,→,red,→,yellow,➚,yellow,➚,yellow,➚,yellow,↑,yellow,➚,yellow,↑,orange,➚,orange,↓,yellow,➚,red,↑,red,→,grey,,red,→,orange,→,red,➚
Spain,80.4,16,OECD,yellow,→,red,➚,yellow,➚,yellow,→,yellow,↑,yellow,➚,yellow,➚,red,➚,orange,➚,orange,➚,yellow,➚,red,➚,red,➚,orange,➚,red,→,yellow,➚,red,➚
Ireland,80.1,17,OECD,green,↑,red,→,green,➚,yellow,➚,yellow,➚,orange,➚,orange,➚,yellow,➚,yellow,➚,yellow,↑,yellow,➚,red,↓,red,→,orange,➚,yellow,➚,yellow,➚,red,➚
Portugal,80.0,18,OECD,yellow,↑,red,→,yellow,➚,yellow,➚,yellow,↑,orange,↑,yellow,➚,orange,➚,orange,➚,yellow,➚,yellow,➚,red,→,orange,➚,red,→,orange,↓,orange,➚,red,➚
Belgium,79.5,19,OECD,green,→,orange,➚,yellow,➚,orange,→,green,↑,orange,↑,orange,➚,yellow,➚,yellow,➚,yellow,↑,yellow,➚,red,↓,red,→,red,➚,orange,➚,yellow,➚,red,→
Netherlands,79.4,20,OECD,green,→,red,→,yellow,➚,yellow,→,yellow,➚,yellow,➚,orange,➚,yellow,➚,yellow,➚,yellow,↓,yellow,➚,red,→,red,➚,red,→,orange,→,orange,→,red,➚
Japan,79.4,21,OECD,yellow,↑,orange,→,yellow,➚,green,➚,red,➚,yellow,➚,orange,➚,orange,➚,green,➚,orange,,yellow,➚,red,➚,red,→,red,→,red,→,yellow,→,orange,➚
Hungary,79.4,22,OECD,green,➚,red,→,orange,➚,orange,→,orange,➚,yellow,➚,orange,➚,yellow,➚,orange,↑,yellow,→,yellow,➚,orange,→,red,→,grey,,yellow,➚,orange,→,red,➚
Slovak Republic,79.1,23,OECD,green,↑,red,→,yellow,➚,orange,➚,orange,➚,yellow,➚,yellow,➚,orange,➚,red,➚,yellow,➚,orange,➚,red,➚,red,→,grey,,yellow,↑,orange,→,orange,➚
Italy,78.8,24,OECD,yellow,↑,red,→,yellow,➚,orange,→,yellow,➚,yellow,↑,orange,➚,orange,➚,red,➚,orange,→,orange,➚,red,→,orange,➚,red,→,orange,→,orange,➚,orange,➚
Moldova,78.6,25,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,green,➚,orange,➚,orange,➚,yellow,→,orange,➚,orange,→,green,↑,yellow,↑,orange,↓,yellow,↓,grey,,yellow,➚,red,➚,yellow,↑
Canada,78.5,26,OECD,green,↑,red,→,orange,➚,green,➚,orange,➚,yellow,→,yellow,→,orange,➚,yellow,➚,yellow,➚,yellow,→,red,→,red,➚,orange,➚,red,→,orange,→,orange,➚
