id,Country,SIDS region,MSVI score,Economic score,Structural development score,Environmental score,Missing data (%),Personal remittances received (% GDP),Normalized score: eco_remit,Official Development Assistance received (% GNI),Normalized score: eco_oda,Trade openness (% GDP),Normalized score: eco_tradeop,Imputation: eco_tradeop,Food imports (% merchandise imports),Normalized score: eco_foodim,Imputation: eco_foodim,Fuel imports (% merchandise imports),Normalized score: eco_fuelim,Imputation: eco_fuelim,Product concentration index for exports (low 0-1 high),Normalized score: eco_exportcon,Tourism receipts (% GDP),Normalized score: eco_tourism,Imputation: eco_tourism,Population (total),Normalized score: dev_pop,Liner Shipping Connectivity Index,Normalized score: dev_connect,Ratio of Cost Insurance Freight (CIF) over Free on Board (FOB),Normalized score: dev_ciffob,Imputation: dev_ciffob,Total internal renewable water resources (cubic meter per inhabitant),Normalized score: dev_water,Imputation: dev_water,Arable land (hectars per capita),Normalized score: dev_arable,Land area where elevation is below 5 meters (% total land area),Normalized score: env_land,Natural disasters costs (% GDP),Normalized score: env_disastcost,Number of hydrometeorological disasters adjusted by land area (per million sq. km),Normalized score: env_hydrodis,Number of seismic disasters adjusted by land area (per million sq. km),Normalized score: env_seismdis,Total number of deaths due to hydrometeorological natural disasters (per million population),Normalized score: env_deathhydro,Total number of deaths due to seismic natural disasters (per million population),Normalized score: env_deathseism
ATG,Antigua and Barbuda,Caribbean,75.1,64.4,75.8,85.3,11.1,2.3,15.4,0.8,5.4,127.3,97.4,,25.4,100.0,,9.8,45.8,,0.5,86.4,51.4,100.0,,92149.0,94.8,5.3,99.7,117.0,7.5,,540.3,79.9,,0.0,96.9,17.2,86.2,9.1,100.0,2272.7,100.0,,,11.0,54.9,,
BHS,Bahamas,Caribbean,71.7,59.9,71.3,84.0,16.7,,,0.0,0.0,69.7,41.6,,19.4,71.1,,17.4,86.1,,0.4,60.6,24.3,100.0,,403972.0,76.8,30.8,72.0,489.0,46.5,,1815.7,61.1,,0.0,100.0,69.7,100.0,5.4,100.0,72.0,36.0,,,322.2,100.0,,
BHR,Bahrain,"Atlantic, Indian Ocean and South China Sea",,,,,33.3,,,0.0,,143.0,,,10.6,,,25.7,,,0.3,,9.4,,,1475819.0,,23.1,,103.6,,,2.6,,,0.0,,33.8,,,,,,,,,,,
BRB,Barbados,Caribbean,60.7,51.1,83.7,47.1,5.6,1.0,6.6,0.0,0.0,72.7,44.6,,22.5,87.0,,20.7,100.0,,0.2,19.7,20.8,100.0,,280189.6,81.2,7.9,96.9,533.7,51.2,,279.1,90.1,,0.0,99.3,3.2,16.1,0.1,1.5,2325.6,100.0,2325.6,100.0,3.6,17.9,,
BLZ,Belize,Caribbean,62.8,56.4,61.1,71.0,11.1,4.6,30.9,2.3,15.1,94.9,66.0,,21.5,81.8,,12.9,62.3,,0.3,38.6,21.1,100.0,1,388161.3,77.3,8.9,95.8,499.8,47.6,,39867.8,13.2,,0.2,71.8,12.5,62.3,11.9,100.0,43.5,21.8,,,54.0,100.0,,
CPV,Cabo Verde,"Atlantic, Indian Ocean and South China Sea",74.2,79.3,88.6,54.7,5.6,12.9,85.9,7.4,49.1,102.7,73.6,,27.3,100.0,,15.1,73.9,,0.5,72.3,22.9,100.0,,576750.2,72.5,5.0,100.0,1608.3,100.0,,552.0,79.6,,0.1,91.1,5.4,27.1,0.1,1.4,248.1,100.0,248.1,100.0,9.0,45.0,,
COM,Comoros,"Atlantic, Indian Ocean and South China Sea",64.3,65.0,82.2,45.5,0.0,16.3,100.0,8.5,56.5,40.3,13.2,,38.7,100.0,,11.2,53.3,,0.6,99.8,4.9,32.1,,791351.0,68.6,5.5,99.4,876.1,87.0,,1442.9,64.7,,0.1,91.5,4.0,20.1,0.5,9.8,1074.7,100.0,537.3,100.0,8.0,39.9,1.7,3.4
CUB,Cuba,Caribbean,44.6,36.2,60.3,37.3,16.7,,,1.1,7.6,23.8,0.0,,19.2,69.8,,18.4,91.3,,0.2,31.4,2.6,17.0,,11307688.0,36.3,8.7,96.0,511.4,48.8,,3363.2,51.5,,0.3,68.8,14.9,74.7,3.2,65.0,12.7,6.4,,,0.6,3.2,,
DMA,Dominica,Caribbean,82.9,77.2,88.5,83.0,5.6,9.4,63.0,8.8,58.5,107.3,78.1,,22.8,88.8,,17.7,87.7,,0.4,64.7,32.8,100.0,,71412.2,97.9,6.2,98.7,1442.2,100.0,,2791.9,54.4,,0.1,91.5,3.0,15.0,184.2,100.0,1333.3,100.0,1333.3,100.0,668.8,100.0,,
DOM,Dominican Republic,Caribbean,36.3,44.0,54.2,10.6,0.0,9.2,61.3,0.3,1.9,50.1,22.6,,16.3,54.8,,17.4,86.0,,0.2,23.3,8.7,58.0,,10882444.0,36.8,38.7,63.5,244.6,20.9,,2212.3,58.0,,0.1,91.9,2.4,12.2,0.1,1.6,51.4,25.7,20.5,20.5,0.6,3.0,0.3,0.7
