id,Country,SDG Index Score - SIDS edition,SDG Index Rank - SIDS edition,Missing data (%),sdg1_wpc,year_sdg1_wpc,n_sdg1_wpc,col_sdg1_wpc,arrow_n_sdg1_wpc,sdg2_obesity,year_sdg2_obesity,n_sdg2_obesity,col_sdg2_obesity,arrow_n_sdg2_obesity,sdg3_lifee,year_sdg3_lifee,n_sdg3_lifee,col_sdg3_lifee,arrow_n_sdg3_lifee,sdg4_second,year_sdg4_second,n_sdg4_second,col_sdg4_second,arrow_n_sdg4_second,sdg5_parl,year_sdg5_parl,n_sdg5_parl,col_sdg5_parl,arrow_n_sdg5_parl,sdg6_sanita,year_sdg6_sanita,n_sdg6_sanita,col_sdg6_sanita,arrow_n_sdg6_sanita,sdg7_elecac,year_sdg7_elecac,n_sdg7_elecac,col_sdg7_elecac,arrow_n_sdg7_elecac,sdg8_unemp,year_sdg8_unemp,n_sdg8_unemp,col_sdg8_unemp,arrow_n_sdg8_unemp,sdg9_intuse,year_sdg9_intuse,n_sdg9_intuse,col_sdg9_intuse,arrow_n_sdg9_intuse,sdg10_gini,year_sdg10_gini,n_sdg10_gini,col_sdg10_gini,arrow_n_sdg10_gini,sdg11_pm25,year_sdg11_pm25,n_sdg11_pm25,col_sdg11_pm25,arrow_n_sdg11_pm25,sdg12_msw,year_sdg12_msw,n_sdg12_msw,col_sdg12_msw,sdg13_co2gcp,year_sdg13_co2gcp,n_sdg13_co2gcp,col_sdg13_co2gcp,arrow_n_sdg13_co2gcp,sdg14_cleanwat,year_sdg14_cleanwat,n_sdg14_cleanwat,col_sdg14_cleanwat,arrow_n_sdg14_cleanwat,sdg15_redlist,year_sdg15_redlist,n_sdg15_redlist,col_sdg15_redlist,arrow_n_sdg15_redlist,sdg16_cpi,year_sdg16_cpi,n_sdg16_cpi,col_sdg16_cpi,arrow_n_sdg16_cpi,sdg17_statperf,year_sdg17_statperf,n_sdg17_statperf,col_sdg17_statperf,arrow_n_sdg17_statperf
ATG,Antigua and Barbuda,67.8,92,23.5,,,89.8,,,18.9,2016,50.2,orange,↓,76.45,2019,77.4,yellow,→,103.386,2019,100.0,green,↑,11.111,2021,20.3,red,→,87.504,2017,86.2,yellow,,100,2020,100.0,green,↑,,,70.1,,,95.663,2021,95.6,green,↑,,,52.5,,,17.641,2019,85.9,orange,➚,0.927,2012,77.0,green,5.042,2021,74.8,red,→,59.19,2022,42.8,red,→,0.884,2023,71.0,yellow,→,,,27.3,,,48.151,2022,30.9,red,
BHS,"Bahamas, The",63.6,115,11.8,,,89.8,,,31.6,2016,10.8,red,↓,73.21,2019,66.2,orange,→,92.243,2010,90.5,green,,17.949,2021,34.3,red,→,94.931,2019,94.4,yellow,→,100,2020,100.0,green,↑,9.578,2023,64.3,orange,➚,94.294,2021,94.2,green,↑,,,52.5,,,16.318,2019,87.6,yellow,↑,1.933,2015,49.1,orange,5.861,2021,70.7,red,→,62.3,2022,47.2,red,→,0.69,2023,22.5,red,↓,64,2022,67.5,green,→,54.128,2022,38.8,orange,➚
BHR,Bahrain,58.5,138,11.8,,,81.1,,,29.8,2016,16.4,red,↓,75.81,2019,75.2,yellow,→,93.454,2019,92.0,green,→,15,2021,28.3,red,➚,100,2020,100.0,green,↑,100,2020,100.0,green,↑,1.417,2023,96.4,green,→,100,2021,100.0,green,↑,,,72.5,,,72.833,2019,17.6,red,↓,1.829,2016,52.0,orange,26.707,2021,0.0,red,↓,57.54,2022,40.5,red,↓,0.746,2023,36.5,red,↓,44,2022,41.0,orange,↓,59.367,2022,45.8,orange,➚
BRB,Barbados,71.6,68,11.8,,,89.8,,,23.1,2016,37.2,orange,↓,76.03,2019,76.0,yellow,→,101.695,2021,100.0,green,,20,2021,38.5,orange,→,98.092,2020,97.9,green,↑,100,2020,100.0,green,↑,7.626,2023,71.9,orange,➚,85.82,2021,85.5,green,↑,,,52.5,,,21.637,2019,81.0,orange,➚,1.692,2011,55.8,orange,4.005,2021,80.0,red,➚,68.57,2022,56.0,red,➚,0.894,2023,73.5,yellow,↓,65,2022,68.8,green,↑,64.628,2022,52.8,orange,
BLZ,Belize,62.4,120,11.8,16.03,2023,77.9,red,↓,24.1,2016,34.1,orange,↓,74.41,2019,70.4,orange,→,76.534,2021,71.4,orange,➚,12.5,2021,23.2,red,➚,88.214,2020,86.9,yellow,→,97.113,2020,96.8,yellow,↑,10.203,2023,61.8,red,↓,61.994,2021,61.1,orange,↑,,,52.5,,,21.327,2019,81.4,orange,➚,0.77,2015,81.4,green,1.735,2021,91.3,green,↑,66.36,2022,52.9,red,→,0.768,2023,42.0,red,↓,,,27.3,,,61.857,2022,49.1,orange,↑
CPV,Cabo Verde,70.8,73,0.0,3.41,2023,95.3,yellow,↑,11.8,2016,72.1,yellow,↓,74.03,2019,69.1,orange,↓,71.274,2019,65.0,red,↓,38.889,2021,77.2,yellow,↑,79.116,2020,76.9,orange,↑,94.162,2020,93.6,yellow,↑,13.505,2023,48.8,red,↓,69.762,2021,69.1,yellow,↑,42.4,2015,58.0,red,,36.464,2019,62.6,red,→,0.719,2012,82.8,green,1.141,2021,94.3,green,→,61.88,2022,46.6,red,↓,0.906,2023,76.5,green,↑,60,2022,62.2,green,↑,65.693,2022,54.3,yellow,↑
COM,Comoros,53.6,154,5.9,18.69,2023,74.3,red,→,7.8,2016,84.5,green,→,67.39,2019,46.2,red,→,43.663,2017,31.3,red,,16.667,2021,31.7,red,➚,35.907,2019,29.0,red,→,86.737,2020,85.4,orange,↑,8.878,2023,67.0,orange,↓,27.337,2021,25.7,red,➚,45.3,2014,49.9,red,,20.353,2019,82.6,orange,→,0.321,2015,93.9,green,0.366,2021,98.2,green,→,34.97,2022,8.9,red,↓,0.734,2023,33.5,red,↓,19,2022,7.9,red,↓,,,62.1,,
CUB,Cuba,70.3,79,17.6,,,89.8,,,24.6,2016,32.5,orange,↓,77.76,2019,81.9,yellow,→,81.933,2021,78.0,orange,↓,53.413,2021,100.0,green,↑,91.356,2020,90.4,yellow,➚,100,2020,100.0,green,↑,1.38,2023,96.5,green,↑,71.119,2021,70.5,yellow,↑,,,52.5,,,18.512,2019,84.9,orange,➚,0.656,2007,84.6,green,1.953,2021,90.2,green,↑,60.08,2022,44.1,red,↓,0.658,2023,14.5,red,↓,45,2022,42.3,orange,↓,,,42.0,,
DMA,Dominica,61.2,123,23.5,,,89.8,,,27.9,2016,22.3,red,↓,,,61.9,,,24.345,2021,7.7,red,↓,34.375,2021,68.0,yellow,↑,80.366,2017,78.3,orange,,100,2020,100.0,green,↑,,,70.1,,,80.933,2021,80.5,green,↑,,,52.5,,,18.358,2019,85.1,orange,➚,0.508,2013,88.7,green,2.195,2021,89.0,yellow,↑,65.06,2022,51.1,red,➚,0.657,2023,14.3,red,↓,55,2022,55.6,yellow,↓,44.192,2022,25.6,red,
DOM,Dominican Republic,65.5,103,0.0,1.22,2023,98.3,green,↑,27.6,2016,23.2,red,↓,72.84,2019,65.0,orange,→,69.452,2021,62.7,red,↓,27.895,2021,54.7,orange,➚,87.178,2020,85.8,yellow,➚,100,2020,100.0,green,↑,7.652,2023,71.8,orange,→,85.243,2021,84.9,green,↑,39.6,2020,65.9,orange,↑,12.719,2019,92.0,yellow,↑,1.083,2015,72.7,yellow,2.615,2021,86.9,yellow,→,49.24,2022,28.9,red,→,0.727,2023,31.8,red,↓,32,2022,25.1,red,↓,72.421,2022,63.2,yellow,↑
